Time_cycle,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10
1,518.67,641.59,1578.61,1401.71,14.62,21.61,554.17,2387.96,9056.88,1.3
2,449.44,554.68,1357.66,1117.74,5.48,8,195.6,2223.03,8343.21,1.02
3,445,548.63,1347.31,1118.9,3.91,5.71,138.81,2212.03,8322.02,1.02
4,445,548.88,1350.73,1125.61,3.91,5.71,138.98,2211.96,8319.13,1.02
5,491.19,606.99,1477.32,1237.14,9.35,13.65,335.07,2323.86,8725.03,1.08
6,449.44,554.45,1357.29,1124.18,5.48,8,194.79,2222.91,8342.79,1.02
7,462.54,536.41,1253.28,1048.21,7.05,9.03,176.43,1915.36,8005.12,0.94
8,489.05,604.07,1491.03,1299.25,10.52,15.49,395.19,2318.8,8773.36,1.26
9,449.44,554.72,1362.78,1122.83,5.48,8,194.78,2222.95,8353.97,1.02
10,449.44,555.28,1368.59,1122.41,5.48,8,194.66,2222.96,8350.49,1.02
11,489.05,604.25,1499.35,1299.93,10.52,15.49,395.5,2318.79,8773.23,1.26
12,462.54,536.19,1251.18,1042.32,7.05,9.02,175.62,1915.35,8014.01,0.94
13,445,549.39,1349.4,1116.34,3.91,5.72,138.76,2211.95,8325.14,1.02
14,449.44,555.24,1359.43,1115.66,5.48,8,194.37,2222.93,8345.04,1.02
15,489.05,604.13,1498.26,1290.26,10.52,15.49,394.87,2318.83,8775.1,1.26
16,489.05,603.85,1488.09,1297.87,10.52,15.49,395.41,2318.81,8773.14,1.26
17,491.19,607.34,1475.4,1247.43,9.35,13.65,335.09,2323.89,8726.75,1.08
18,491.19,607.36,1473.52,1243.84,9.35,13.65,334.92,2323.9,8719,1.08
19,489.05,604.18,1493.11,1299.93,10.52,15.49,395.37,2318.83,8775.52,1.26
20,489.05,603.79,1499.16,1296.86,10.52,15.49,395.14,2318.84,8780.91,1.26
21,445,549.23,1353.72,1118.22,3.91,5.72,139.61,2211.93,8316.71,1.02
22,489.05,604.8,1496,1299.49,10.52,15.49,394.92,2318.82,8775.46,1.26
23,445,548.94,1345.79,1114.37,3.91,5.72,138.13,2211.91,8320.4,1.02
24,518.67,641.75,1582.11,1393.02,14.62,21.61,554.12,2388.01,9059.18,1.3
25,489.05,604.4,1501.48,1301.41,10.52,15.49,395.41,2318.86,8779.49,1.26
26,445,548.68,1350.81,1120.88,3.91,5.71,138.99,2211.99,8317.92,1.02
27,462.54,536.41,1254.84,1041.38,7.05,9.03,175.43,1915.33,8010.08,0.94
28,462.54,536.48,1261.27,1044.26,7.05,9.02,175.44,1915.38,8006.22,0.94
29,445,549.44,1347.59,1119.25,3.91,5.71,137.85,2211.89,8320.31,1.02
30,491.19,606.79,1475.73,1244.02,9.35,13.65,335.08,2323.86,8719.79,1.08
31,445,549.37,1352.08,1119.85,3.91,5.71,138.71,2211.92,8315.48,1.02
32,518.67,642.77,1580.21,1399.65,14.62,21.61,554.19,2387.99,9051.3,1.3
33,462.54,536.73,1253.35,1046.4,7.05,9.02,175.87,1915.37,8007.21,0.94
34,445,549.1,1349.62,1110.21,3.91,5.72,138.72,2212.01,8329.02,1.02
35,518.67,641.97,1583.85,1394.74,14.62,21.61,554.67,2388.01,9052.46,1.3
36,489.05,604.63,1500.28,1300.77,10.52,15.49,395.05,2318.88,8784.59,1.26
37,449.44,555.22,1365.9,1116.9,5.48,8,194.54,2222.98,8347.7,1.02
38,518.67,642.25,1584.85,1395.66,14.62,21.61,554.22,2388.02,9045.9,1.3
39,491.19,607.53,1480.07,1249.47,9.35,13.65,335.26,2323.92,8725.04,1.08
40,489.05,604.51,1493.83,1303.37,10.52,15.49,394.19,2318.82,8782.96,1.26
41,449.44,555.11,1361.46,1134.39,5.48,8,194.84,2222.99,8350.03,1.02
42,462.54,536.5,1256.77,1043.92,7.05,9.03,175.38,1915.39,8009.97,0.94
43,445,548.69,1353.17,1114.72,3.91,5.71,139.53,2211.97,8315.77,1.02
44,491.19,607.14,1474.94,1244.13,9.35,13.66,334.67,2323.92,8717.58,1.08
45,462.54,536.17,1254.9,1040.01,7.05,9.02,175.87,1915.26,8018.44,0.94
46,449.44,555.12,1369.4,1122.49,5.48,8,194.53,2222.94,8341.84,1.02
47,462.54,536.23,1256.82,1040.98,7.05,9.02,175.48,1915.42,8006.24,0.94
48,462.54,536.42,1258.77,1041.97,7.05,9.02,176.16,1915.39,8011.39,0.94
49,462.54,536.11,1255.63,1033.53,7.05,9.02,174.98,1915.34,8012.92,0.94
50,489.05,603.93,1497.5,1301.77,10.52,15.49,395.34,2318.85,8768.73,1.26
51,491.19,606.87,1480.73,1244.01,9.35,13.65,334.6,2323.89,8712.94,1.08
52,518.67,641.61,1581.83,1397.34,14.62,21.61,554.91,2388.04,9057.05,1.3
53,449.44,555.06,1357.63,1116.82,5.48,8,194.08,2222.99,8347.94,1.02
54,518.67,642.33,1583.16,1399.72,14.62,21.61,554.44,2388.04,9056.53,1.3
55,445,549.31,1352.35,1122.49,3.91,5.71,138.51,2211.98,8326.44,1.02
56,491.19,606.63,1482.69,1241.76,9.35,13.65,334.94,2323.87,8724.59,1.08
57,462.54,536.77,1255.89,1045.86,7.05,9.02,175.3,1915.4,8012.69,0.94
58,518.67,642.29,1589.25,1400.66,14.62,21.61,554.26,2388.02,9057.47,1.3
59,445,549.33,1350.48,1117.38,3.91,5.71,138.17,2211.91,8322.64,1.02
60,445,549.74,1353.75,1118.55,3.91,5.71,138.26,2211.95,8313.7,1.02
61,518.67,642.29,1589.22,1405.11,14.62,21.6,553.96,2388,9057.85,1.3
62,462.54,536.62,1255.5,1050.3,7.05,9.03,175.56,1915.32,8002.48,0.94
63,462.54,536.35,1258.69,1044.04,7.05,9.02,175.29,1915.35,8011.3,0.94
64,518.67,641.88,1577.41,1397.34,14.62,21.61,554.75,2388.01,9059.94,1.3
65,445,549.06,1349.8,1127.24,3.91,5.71,139.44,2212.04,8328.78,1.02
66,449.44,555.38,1361.08,1119.66,5.48,8,195.26,2222.96,8344.53,1.02
67,445,549.38,1352.26,1126.15,3.91,5.71,138.87,2211.93,8326.06,1.02
68,462.54,536.84,1258.31,1046.94,7.05,9.03,175.33,1915.34,8019.83,0.94
69,518.67,642.05,1589.07,1405.68,14.62,21.61,553.94,2388.07,9051.13,1.3
70,445,548.82,1347.81,1120.96,3.91,5.72,139.21,2211.94,8320.72,1.02
71,518.67,642.19,1583.94,1396.84,14.62,21.61,554.26,2388.05,9050.15,1.3
72,449.44,555.03,1362.41,1118.85,5.48,8,194.85,2222.93,8344.8,1.03
73,518.67,641.85,1588.94,1405.94,14.62,21.61,554.04,2388.04,9053.44,1.3
74,491.19,607.19,1481.48,1243.47,9.35,13.65,335.36,2323.92,8719.47,1.08
75,445,549.46,1348.75,1121.89,3.91,5.71,138.49,2211.92,8321.19,1.02
76,489.05,604.29,1497.56,1297.81,10.52,15.49,395.2,2318.82,8778.11,1.26
77,445,549.32,1337.99,1129.43,3.91,5.72,139.01,2211.9,8315.83,1.02
78,518.67,642.84,1585.87,1397.56,14.62,21.61,554.27,2388.06,9052.68,1.3
79,445,549.46,1352.21,1114.73,3.91,5.72,138.9,2211.89,8318.08,1.02
80,491.19,607.29,1479.26,1244.81,9.35,13.65,334.82,2323.94,8714.6,1.08
81,445,549.08,1355.59,1127.63,3.91,5.71,138.79,2211.94,8322.58,1.02
82,462.54,536.66,1254,1043.53,7.05,9.03,175.33,1915.37,8005.69,0.94
83,449.44,555.58,1352.38,1128.61,5.48,8,194.68,2222.92,8354.99,1.02
84,445,548.66,1344.22,1122.59,3.91,5.71,138.71,2211.86,8318.89,1.02
